compound_id,chart_type,chart_no
cmp_001,脂肪族,1
cmp_002,脂肪族,2
cmp_003,脂肪族,3
cmp_004,脂肪族,4
cmp_005,脂肪族,5
cmp_006,脂肪族,6
cmp_007,脂肪族,7
cmp_008,脂肪族,8
cmp_009,脂肪族,9
cmp_010,脂肪族,10
cmp_011,脂肪族,11
cmp_012,脂肪族,12
cmp_013,脂肪族,13
cmp_014,脂肪族,14
cmp_015,脂肪族,15
cmp_016,脂肪族,16
cmp_017,脂肪族,17
cmp_018,脂肪族,18
cmp_019,脂肪族,19
cmp_020,脂肪族,20
cmp_021,脂肪族,21
cmp_022,脂肪族,22
cmp_023,脂肪族,23
cmp_024,脂肪族,24
cmp_025,脂肪族,25
cmp_026,脂肪族,26
cmp_027,脂肪族,27
cmp_028,脂肪族,28
cmp_029,脂肪族,29
cmp_030,脂肪族,30
cmp_031,脂肪族,31
cmp_032,脂肪族,32
cmp_033,脂肪族,33
cmp_034,脂肪族,34
cmp_035,脂肪族,35
cmp_036,脂肪族,36
cmp_037,脂肪族,37
cmp_038,脂肪族,38
cmp_039,脂肪族,39
cmp_040,脂肪族,40
cmp_041,脂肪族,41
cmp_042,脂肪族,42
cmp_043,脂肪族,43
cmp_044,脂肪族,44
cmp_045,脂肪族,45
cmp_046,脂肪族,46
cmp_047,脂肪族,47
cmp_048,脂肪族,48
cmp_049,脂肪族,49
cmp_050,脂肪族,50
cmp_051,脂肪族,51
cmp_052,脂肪族,52
cmp_053,脂肪族,53
cmp_054,脂肪族,54
cmp_055,脂肪族,55
cmp_056,脂肪族,56
cmp_057,脂肪族,57
cmp_058,脂肪族,58
cmp_059,芳香族,1
cmp_060,芳香族,2
cmp_061,芳香族,3
cmp_062,芳香族,4
cmp_063,芳香族,5
cmp_064,芳香族,6
cmp_065,芳香族,7
cmp_066,芳香族,8
cmp_067,芳香族,9
cmp_068,芳香族,10
cmp_069,芳香族,11
cmp_070,芳香族,12
cmp_071,芳香族,13
cmp_072,芳香族,14
cmp_073,芳香族,15
cmp_074,芳香族,16
cmp_075,芳香族,17
cmp_022,芳香族,18
cmp_076,芳香族,19
cmp_077,芳香族,20
cmp_078,芳香族,21
cmp_025,芳香族,22
cmp_079,芳香族,23
cmp_080,芳香族,24
cmp_081,芳香族,25
cmp_029,芳香族,26
cmp_082,芳香族,27
cmp_083,芳香族,28
cmp_032,芳香族,29
cmp_030,芳香族,30
cmp_084,芳香族,31
cmp_085,芳香族,32
cmp_086,芳香族,33
cmp_087,芳香族,34
cmp_088,芳香族,35
cmp_089,芳香族,36
cmp_090,芳香族,37
cmp_091,芳香族,38
cmp_092,芳香族,39
cmp_050,芳香族,40
cmp_093,芳香族,41
cmp_040,芳香族,42
cmp_094,芳香族,43
cmp_095,芳香族,44
