compound_id,name_ja,name_en,formula,image,memo,range_level
cmp_006,エタノール,ethanol,C2H6O,ethanol.png,,2.0
cmp_010,アセトアルデヒド,acetaldehyde,C2H4O,acetaldehyde.png,,2.0
cmp_001,ナトリウムエトキシド,sodium ethoxide,C2H5ONa,sodium ethoxide.png,OとNaは結合線(価標)で結ばない,2.0
cmp_007,エチレン,ethene,C2H4,ethene.png,,1.0
cmp_018,酢酸,acetic acid,C2H4O2,acetic acid.png,,2.0
cmp_022,ベンゼン,benzene,C6H6,benzene.png,,3.0
cmp_075,ニトロベンゼン,nitrobenzene,C6H5NO2,nitrobenzene.png,,3.0
cmp_081,アニリン,aniline,C6H5NH2,aniline.png,,3.0
cmp_002,ジエチルエーテル,diethyl ether,C2H5OC2H5,diethyl ether.png,,2.0
cmp_003,エタン,ethane,C2H6,ethane.png,,1.0
cmp_004,クロロエタン,chloroethane,C2H5Cl,chloroethane.png,,1.0
cmp_005,"1,2-ジブロモエタン","1,2-dibromoethane",C2H4Br2,"1,2-dibromoethane.png",,1.0
cmp_008,ポリエチレン,polyethylene,(C2H4)n,polyethylene.png,,1.0
cmp_009,"1,2-ジクロロエタン","1,2-dichloroethane",C2H4Cl2,"1,2-dichloroethane.png",,1.0
cmp_011,塩化ビニル,vinyl chloride,C2H3Cl,vinyl chloride.png,,1.0
cmp_012,ポリ塩化ビニル,polyvinyl chloride,(C2H3Cl)n,polyvinyl chloride.png,,1.0
cmp_013,酢酸エチル,ethyl acetate,CH3COOC2H5,ethyl acetate.png,,2.0
cmp_014,※ビニルアルコール(不安定),vinyl alcohol,(C2H3OH)n,vinyl alcohol.png,不安定なため存在できない。エノール型,2.0
cmp_015,アクリロニトリル,acrylonitrile,C2H3CN,acrylonitrile.png,,1.0
cmp_016,ポリアクリロニトリル,polyacrylonitrile,(C2H3CN)n,polyacrylonitrile.png,,1.0
cmp_017,酢酸ナトリウム,sodium acetate,CH3COONa,sodium acetate.png,OとNaは結合線(価標)で結ばない,1.0
cmp_019,アセチレン,acetylene,C2H2,acetylene.png,,1.0
cmp_020,酢酸ビニル,vinyl acetate,C2H3OCOCH3,vinyl acetate.png,,2.0
cmp_021,ポリ酢酸ビニル,polyvinyl acetate,(C2H3OCOCH3)n,polyvinyl acetate.png,,2.0
cmp_023,プロペン（プロピレン）,propene,C3H6,propene.png,,1.0
cmp_024,ポリプロペン（ポリプロピレン）,polypropylene,(C3H6)n,polypropylene.png,,1.0
cmp_025,クメン,cumene,C6H5C3H7,cumene.png,,3.0
