reaction_id,reactant_id,product_id,condition,reaction_type,memo,custom_a,custom_b
rxn_001,cmp_006,cmp_001,金属ナトリウム,置換,,False,False
rxn_002,cmp_010,cmp_006,還元剤,還元,,False,False
rxn_003,cmp_007,cmp_006,H2O・高温高圧＋リン酸触媒,付加,,False,False
rxn_004,cmp_006,cmp_010,ニクロム酸カリウム,酸化,,False,False
rxn_005,cmp_010,cmp_018,ニクロム酸カリウム,酸化,,False,False
rxn_006,cmp_022,cmp_075,濃硫酸＋濃硝酸,ニトロ化,,False,True
rxn_007,cmp_075,cmp_081,濃塩酸＋Sn,還元,Snの代わりにFeでもOK,False,True
rxn_008,cmp_006,cmp_002,130〜140℃・濃硫酸,分子間脱水,,False,False
rxn_009,cmp_006,cmp_007,160〜170℃・濃硫酸,分子内脱水,,False,False
rxn_010,cmp_007,cmp_003,H2・Pt触媒,水素付加,,False,False
rxn_011,cmp_007,cmp_004,HCl,付加,,False,False
rxn_012,cmp_007,cmp_005,Br2,付加,,False,False
rxn_013,cmp_007,cmp_008,,付加重合,,False,False
rxn_014,cmp_007,cmp_049,Ag触媒,酸化,,False,False
rxn_015,cmp_049,cmp_051,H2O,加水分解,,False,False
rxn_016,cmp_051,cmp_050,テレフタル酸,縮合重合,共反応物：テレフタル酸,False,False
rxn_017,cmp_007,cmp_009,Cl2,付加,,False,False
rxn_018,cmp_009,cmp_011,熱分解,脱離,HClを脱離,False,False
rxn_019,cmp_011,cmp_012,,付加重合,,False,False
rxn_020,cmp_019,cmp_011,HCl・HgCl2触媒,付加,,False,False
rxn_021,cmp_019,cmp_015,HCN,付加,,False,False
rxn_022,cmp_015,cmp_016,,付加重合,,False,False
rxn_023,cmp_019,cmp_020,CH3COOH・(CH3COO)2Zn触媒,付加,,False,False
rxn_024,cmp_020,cmp_021,,付加重合,,False,False
rxn_025,cmp_021,cmp_052,NaOH,けん化,,False,False
rxn_026,cmp_052,cmp_053,HCHO・50%アセタール化,アセタール化,,False,False
rxn_027,cmp_019,cmp_014,H2O・HgSO4触媒,付加,,False,False
rxn_028,cmp_014,cmp_010,,原子の組み替え,,False,False
rxn_029,cmp_019,cmp_022,赤熱したFe触媒,三分子重合,,False,False
rxn_030,cmp_041,cmp_019,H2O,加水分解,,False,False
rxn_031,cmp_018,cmp_010,,還元,,False,False
rxn_032,cmp_042,cmp_035,,酸化,,False,False
rxn_033,cmp_035,cmp_042,,還元,,False,False
rxn_034,cmp_043,cmp_042,,酸化,,False,False
rxn_035,cmp_042,cmp_043,,還元,,False,False
rxn_036,cmp_035,cmp_036,エタノール,エステル化,共反応物：エタノール,False,False
rxn_037,cmp_036,cmp_035,H2O,加水分解,同時にエタノールも生成,False,False
rxn_038,cmp_018,cmp_013,エタノール,エステル化,共反応物：エタノール,False,True
rxn_039,cmp_013,cmp_018,H2O,加水分解,同時にエタノールも生成,False,True
rxn_040,cmp_013,cmp_017,NaOH,けん化,,False,True
rxn_041,cmp_018,cmp_017,NaOH,中和,,False,False
rxn_042,cmp_017,cmp_044,乾留,脱炭酸,,False,False
rxn_043,cmp_044,cmp_045,Cl2・光,置換,,False,False
rxn_044,cmp_045,cmp_046,Cl2・光,置換,,False,False
rxn_045,cmp_046,cmp_047,Cl2・光,置換,,False,False
rxn_046,cmp_047,cmp_048,Cl2・光,置換,,False,False
rxn_047,cmp_018,cmp_028,P4O10触媒,脱水縮合,,False,False
rxn_048,cmp_018,cmp_031,Ca(OH)2,中和,,False,False
rxn_049,cmp_031,cmp_032,乾留,熱分解,,False,False
rxn_050,cmp_022,cmp_040,V2O5触媒,酸化,,False,False
rxn_051,cmp_037,cmp_040,加熱,脱水,,False,False
rxn_052,cmp_037,cmp_039,H2,付加,,False,False
rxn_053,cmp_038,cmp_039,H2,付加,,False,False
rxn_054,cmp_022,cmp_025,プロペン,付加,共反応物：プロペン,False,False
rxn_055,cmp_023,cmp_025,ベンゼン,付加,共反応物：ベンゼン,False,False
rxn_056,cmp_025,cmp_029,O2,酸化,,False,False
rxn_057,cmp_029,cmp_030,硫酸(H+),酸分解,同時にアセトンも生成,False,False
rxn_058,cmp_029,cmp_032,硫酸(H+),酸分解,同時にフェノールも生成,False,False
rxn_059,cmp_023,cmp_024,,付加重合,,False,False
rxn_060,cmp_023,cmp_026,H2O,付加,,False,False
rxn_061,cmp_026,cmp_023,160〜170℃・濃硫酸,分子内脱水,,False,False
rxn_062,cmp_023,cmp_027,H2O,付加,,False,False
rxn_063,cmp_027,cmp_023,160〜170℃・濃硫酸,分子内脱水,,False,False
rxn_064,cmp_026,cmp_032,,酸化,,False,False
rxn_065,cmp_027,cmp_033,,酸化,,False,False
rxn_066,cmp_033,cmp_034,,酸化,,False,False
rxn_067,cmp_055,cmp_056,Br2,付加,,False,False
rxn_068,cmp_032,cmp_054,I2 + NaOH,ヨードホルム反応,,False,False
rxn_069,cmp_057,cmp_058,高級脂肪酸 RCOOH ×3,エステル化,,False,False
rxn_070,cmp_058,cmp_057,NaOH,けん化,同時にセッケン RCOONa も生成,False,False
rxn_071,cmp_059,cmp_063,,酸化,,False,False
rxn_072,cmp_063,cmp_064,KMnO4,側鎖の酸化,,False,False
rxn_073,cmp_060,cmp_061,-2H,脱水素,,False,False
rxn_074,cmp_061,cmp_060,H2,水素付加,,False,False
rxn_075,cmp_061,cmp_062,,付加重合,,False,False
rxn_076,cmp_068,cmp_064,KMnO4,側鎖の酸化,,False,False
rxn_077,cmp_064,cmp_094,エタノール,エステル化,共反応物：エタノール,False,False
rxn_078,cmp_065,cmp_066,V2O5触媒,酸化開裂,,False,False
rxn_079,cmp_066,cmp_070,H2O,加水分解,,False,False
rxn_080,cmp_070,cmp_066,加熱,脱水,,False,False
rxn_081,cmp_068,cmp_069,,アルキル化,,False,False
rxn_082,cmp_068,cmp_073,,アルキル化,,False,False
rxn_083,cmp_068,cmp_076,,アルキル化,,False,False
rxn_084,cmp_069,cmp_070,KMnO4,側鎖の酸化,,False,False
rxn_085,cmp_073,cmp_074,KMnO4,側鎖の酸化,,False,False
rxn_086,cmp_076,cmp_077,KMnO4,側鎖の酸化,,False,False
rxn_087,cmp_077,cmp_050,エチレングリコール,縮合重合,共反応物：エチレングリコール,False,False
rxn_088,cmp_022,cmp_071,H2・Pt触媒,水素付加,,False,False
rxn_089,cmp_022,cmp_072,Cl2・紫外線,付加,,False,False
rxn_090,cmp_075,cmp_078,Sn・濃HCl,還元,,False,False
